Name,Symbol
iShares MSCI Emerging Markets ETF,EEM
GameStop Corp,GME
Tesla Inc,TSLA
Square Inc,SQ
ARK Genomic Revolution ETF,ARKG
Snap Inc,SNAP
PayPal Holdings Inc,PYPL
Apple Inc,AAPL
Microsoft Corporation,MSFT
Eli Lilly and Company,LLY
3D Systems Corporation,DDD
Adobe Systems Incorporated,ADBE
Twitter Inc,TWTR
Amazon.com Inc,AMZN
iRobot Corporation,IRBT
Starbucks Corporation,SBUX
Freeport-McMoran Copper & Gold Inc,FCX
Facebook Inc,FB
Walt Disney Company,DIS
Accenture plc,ACN
AAON Inc,AAON
Air Products and Chemicals Inc,APD
Semtech Corporation,SMTC
Netflix Inc,NFLX
El Pollo Loco Holdings Inc,LOCO
Prologis Inc,PLD
Automatic Data Processing Inc,ADP
Advance Auto Parts Inc,AAP
Walmart Inc,WMT
eBay Inc,EBAY
Vanguard S&P 500 ETF,VOO
Kroger Company,KR
VanEck Vectors Gold Miners ETF,GDX
iShares Silver Trust,SLV
Whirlpool Corporation,WHR
Akamai Technologies Inc,AKAM
AstraZeneca PLC ADR,AZN
SPDR® S&P 600 Small Cap ETF,SLY
Alliant Energy Corp,LNT
Archer-Daniels-Midland Company,ADM
L3Harris Technologies Inc,LHX
VMware Inc,VMW
Sanofi ADR,SNY
The Cheesecake Factory,CAKE
Cisco Systems Inc,CSCO
Cemex SAB de CV,CEMEXCPO.MX
SAP SE ADR,SAP
iShares 20+ Year Treasury Bond ETF,TLT
ABIOMED Inc,ABMD
Autohome Inc ADR,ATHM
iShares 1-3 Year Treasury Bond ETF,SHY
Pfizer Inc,PFE
Invesco CurrencyShares® British Pound Sterling Trust,FXB
Baidu Inc,BIDU
TTM Technologies Inc,TTMI
LendingClub Corp,LC
McCormick & Company Incorporated,MKC
"United States Brent Oil Fund, LP",BNO
CenterPoint Energy Inc,CNP
Valero Energy Corporation,VLO
iShares U.S. Oil & Gas Exploration & Production ETF,IEO
Energy Select Sector SPDR® Fund,XLE
Exxon Mobil Corp,XOM
Six Flags Entertainment New,SIX
BlackBerry Ltd,BB
Coca-Cola Femsa SAB de CV ADR,KOF
Cinemark Holdings Inc,CNK
Applied Opt,AAOI
iShares ESG Aware MSCI USA Small-Cap ETF,ESML
AdvisorShares Dorsey Wright Short,DWSH
AdvisorShares Pure Cannabis,YOLO
Beyond Meat Inc,BYND
BioNTech SE,BNTX
Moderna Inc,MRNA
Zoom Video Communications Inc,ZM
Impact Shares NAACP Minority Empowerment ETF,NACP
Albertsons Companies,ACI
